0,"요즘엔 워낙 수제버거 맛집들이 많지만, 이 곳 방문해서 맛 없다고 한 사람은 못 본 것 같네요. 개인적으로 워낙에 좋아하는 곳이라 거의 분기별로 한번씩 가는데 지인들에게도 많이 추천합니다. 패티가 정말 육즙이 좔좔 흐르면서도 느끼하지 않고 고소하고 맛있어요. 감자튀김도 다른 데 보다 왠지 더 맛있는 것 같습니다. 겉은 파삭하고, 속은 부드러운.. 아름다운 감튀...! 어제도 지인이 제 추천에 다녀와서 극찬을 했습니다. 무조건 강추!",5.0
1,햄버거를 그닥 좋아하지 않는 친구도 여기와선 잘 먹더라구요 ㅎㅎ 맛있어요 !,4.0
2,요즘 수제버거집이 많은데 흔한 수제버거 느낌이 아니라서 좋네요 ! 특히 빵이 마음에 들어요 ㅋㅋㅋ깨돌이빵,4.0
3,너~~~~무 맛있어요 ! 직원분들도 훈훈하시구,4.0
4,이제는 버거도 웰빙인가..ㅋㅋㅋ 재료가 신선한게 느껴지네요,5.0
5,가로수길 쇼핑하다 간단히 먹기 좋아요 ! 수제버건데 너무 무겁지 않아 좋아요,5.0
6,갈만했었다,4.0
7,나만 알고싶은 맛집,4.0
8,로켓버거 진짜 깔끔한 것 같네요,3.0
9,다른집과 특별히 차이가 나는 점은 없는것같네요.,3.0
10,여러모로 괜찮아요,3.0
11,진짜 또 가고 싶은 것 같아요,4.0
12,맛있어요,3.0
13,여러모로 맘에 든 것 같아요,3.0
14,그냥 가볼만했음,3.0
